volume,vw,open,close,high,low,timestamp,n
2063728.0,471.9217,471.645,471.98,472.09,471.645,2023-12-18 16:15:00,17338
1434896.0,472.033,471.99,472.05,472.17,471.91,2023-12-18 16:30:00,14004
1318658.0,472.0122,472.04,471.99,472.13,471.92,2023-12-18 16:45:00,12955
1944607.0,472.2002,472.0,472.41,472.46,472.0,2023-12-18 17:00:00,12893
1600722.0,472.1747,472.42,472.485,472.65,472.39,2023-12-18 17:15:00,13475
1336072.0,472.4038,472.5,472.365,472.56,472.24,2023-12-18 17:30:00,11719
1095374.0,471.7491,472.365,472.425,472.44,472.21,2023-12-18 17:45:00,8151
1327061.0,471.8282,472.425,472.31,472.4698,472.11,2023-12-18 18:00:00,10765
1141183.0,471.8627,472.31,472.525,472.56,472.24,2023-12-18 18:15:00,9150
1279421.0,472.4205,472.53,472.3501,472.62,472.28,2023-12-18 18:30:00,10821
948257.0,472.4083,472.3502,472.49,472.5,472.31,2023-12-18 18:45:00,9266
1374486.0,472.5093,472.49,472.48,472.605,472.365,2023-12-18 19:00:00,11851
2224882.0,472.5973,472.495,472.48,472.98,472.39,2023-12-18 19:15:00,16891
2201011.0,471.7846,472.49,472.595,472.635,472.205,2023-12-18 19:30:00,14133
2119783.0,471.9555,472.595,472.54,472.74,472.45,2023-12-18 19:45:00,12901
1844908.0,472.4956,472.555,472.5199,472.66,472.38,2023-12-18 20:00:00,13942
1751462.0,472.2639,472.515,472.71,472.81,470.95,2023-12-18 20:15:00,14426
2755891.0,472.2272,472.72,472.365,472.725,472.27,2023-12-18 20:30:00,22549
7669184.0,471.9165,472.37,472.02,472.57,470.95,2023-12-18 20:45:00,46460
5951058.0,471.782,472.01,471.67,472.3809,471.58,2023-12-18 21:00:00,3605
3029547.0,472.9133,472.53,473.22,473.34,472.45,2023-12-19 14:30:00,25719
2068161.0,473.3933,473.23,473.48,473.66,473.041,2023-12-19 14:45:00,22016
2169800.0,473.412,473.5,473.76,473.845,473.04,2023-12-19 15:00:00,28562
2133233.0,473.6277,473.77,473.85,474.03,473.64,2023-12-19 15:15:00,18037
2166576.0,473.669,473.86,473.79,474.07,473.63,2023-12-19 15:30:00,18159
1650238.0,473.6127,473.79,474.065,474.08,473.62,2023-12-19 15:45:00,13286
1597113.0,474.198,474.07,474.3693,474.43,473.8499,2023-12-19 16:00:00,14497
1758763.0,473.6425,474.361,474.2499,474.43,474.13,2023-12-19 16:15:00,12356
1597465.0,474.2522,474.255,474.445,474.45,474.055,2023-12-19 16:30:00,14076
2127792.0,473.3966,474.4485,473.91,474.475,473.865,2023-12-19 16:45:00,12017
1496242.0,473.849,473.9,473.74,474.05,473.65,2023-12-19 17:00:00,14016
1610155.0,473.7903,473.73,473.855,473.91,473.6305,2023-12-19 17:15:00,10576
1194912.0,473.5311,473.85,474.005,474.04,473.8,2023-12-19 17:30:00,8851
1087289.0,474.0948,474.01,474.075,474.21,473.965,2023-12-19 17:45:00,10421
1230404.0,473.9186,474.08,473.9,474.145,473.6399,2023-12-19 18:00:00,12331
1034899.0,473.8367,473.9,473.97,473.98,473.69,2023-12-19 18:15:00,9816
1614113.0,473.9622,473.98,474.185,474.21,473.7701,2023-12-19 18:30:00,11937
933734.0,474.2009,474.19,474.1758,474.35,474.02,2023-12-19 18:45:00,9643
1060472.0,474.206,474.18,474.145,474.35,474.125,2023-12-19 19:00:00,9420
939141.0,474.2167,474.15,474.33,474.33,474.07,2023-12-19 19:15:00,10005
1741735.0,473.9591,474.33,474.135,474.41,474.11,2023-12-19 19:30:00,14096
1284151.0,474.1082,474.155,474.17,474.2019,474.0,2023-12-19 19:45:00,11486
1387200.0,474.0799,474.18,474.135,474.32,473.82,2023-12-19 20:00:00,13281
1290892.0,474.107,474.135,474.19,474.26,473.925,2023-12-19 20:15:00,12951
1911119.0,474.2663,474.19,474.325,474.55,474.095,2023-12-19 20:30:00,17530
5997241.0,474.4739,474.32,474.82,474.92,474.04,2023-12-19 20:45:00,45256
3794846.0,474.7203,474.81,474.54,474.91,474.0589,2023-12-19 21:00:00,4645
