volume,vw,open,close,high,low,timestamp,n,timestamp.1,EMA_13,EMA_48,EMA_200
809.0,509.0397,509.04,509.04,509.04,509.04,1709723520000,5.0,2024-03-06 06:12:00-05:00,509.0053618679135,508.8419036711717,508.0749129475866
3865.0,509.1,509.1,509.1,509.1,509.1,1709723640000,9.0,2024-03-06 06:14:00-05:00,509.0188816010688,508.8524382152056,508.0851128187549
1614.0,509.0304,509.05,509.02,509.05,509.02,1709724000000,12.0,2024-03-06 06:20:00-05:00,509.0190413723447,508.85927747172775,508.09441517876735
1486.0,508.9562,508.99,508.95,508.99,508.95,1709724720000,11.0,2024-03-06 06:32:00-05:00,509.00917831915257,508.8629804320653,508.1029284605707
2357.0,508.9639,508.95,508.96,508.99,508.95,1709724840000,16.0,2024-03-06 06:34:00-05:00,509.002152844988,508.86694041443,508.1114565355899
100.0,509.05,509.05,509.05,509.05,509.05,1709725200000,1.0,2024-03-06 06:40:00-05:00,509.0089881528469,508.8744122342492,508.12079527652935
276.0,508.99,508.99,508.99,508.99,508.99,1709725320000,11.0,2024-03-06 06:42:00-05:00,509.0062755595831,508.87913010223895,508.129444079748
639.0,508.929,508.95,508.9,508.95,508.9,1709725440000,9.0,2024-03-06 06:44:00-05:00,508.9910933367855,508.8799819348006,508.1371113028351
291.0,508.8496,508.85,508.85,508.85,508.85,1709725560000,6.0,2024-03-06 06:46:00-05:00,508.97093714581615,508.8787581823597,508.14420472270734
1610.0,508.8971,508.89,508.9,508.9,508.89,1709725680000,13.0,2024-03-06 06:48:00-05:00,508.9608032678424,508.8796251953246,508.1517250737252
305.0,508.9105,508.91,508.91,508.91,508.91,1709725800000,4.0,2024-03-06 06:50:00-05:00,508.9535456581507,508.8808649832705,508.1592700978673
536.0,508.9457,508.95,508.95,508.95,508.95,1709725920000,7.0,2024-03-06 06:52:00-05:00,508.9530391355578,508.883686820688,508.1671380570925
1690.0,508.7866,508.81,508.75,508.85,508.71,1709726040000,22.0,2024-03-06 06:54:00-05:00,508.9240335447639,508.878230215762,508.1729376784151
104.0,508.8981,508.9,508.9,508.9,508.9,1709726160000,2.0,2024-03-06 06:56:00-05:00,508.9206001812262,508.8791187783839,508.18017212937616
