volume,vw,open,close,high,low,timestamp,n,timestamp
2607,525.2747,525.31,525.29,525.31,525.25,1717499520000,37,2024-06-04 07:12:00-04:00
3189,525.2963,525.3,525.28,525.3,525.26,1717499640000,31,2024-06-04 07:14:00-04:00
1975,525.3822,525.32,525.42,525.42,525.32,1717499760000,30,2024-06-04 07:16:00-04:00
2585,525.4316,525.43,525.43,525.46,525.42,1717499880000,38,2024-06-04 07:18:00-04:00
4104,525.3786,525.38,525.38,525.38,525.37,1717500000000,20,2024-06-04 07:20:00-04:00
26058,525.4486,525.5,525.42,525.5,525.4,1717500120000,86,2024-06-04 07:22:00-04:00
254,525.4419,525.46,525.43,525.46,525.43,1717500240000,6,2024-06-04 07:24:00-04:00
3539,525.442,525.44,525.44,525.45,525.44,1717500360000,17,2024-06-04 07:26:00-04:00
19096,525.3743,525.44,525.33,525.44,525.33,1717500480000,68,2024-06-04 07:28:00-04:00
21625,525.3189,525.32,525.39,525.39,525.27,1717500600000,90,2024-06-04 07:30:00-04:00
1823,525.4835,525.35,525.62,525.62,525.35,1717500720000,25,2024-06-04 07:32:00-04:00
1348,525.6995,525.69,525.7,525.7,525.69,1717500840000,12,2024-06-04 07:34:00-04:00
12181,525.6953,525.72,525.68,525.72,525.67,1717500960000,48,2024-06-04 07:36:00-04:00
5656,525.6738,525.67,525.67,525.69,525.67,1717501080000,25,2024-06-04 07:38:00-04:00
14284,525.8318,525.85,525.82,525.86,525.82,1717501200000,48,2024-06-04 07:40:00-04:00
1675,525.8191,525.82,525.83,525.83,525.8,1717501320000,20,2024-06-04 07:42:00-04:00
5916,525.8848,525.9,525.88,525.9,525.88,1717501440000,28,2024-06-04 07:44:00-04:00
9064,525.8756,525.86,525.9,525.9,525.86,1717501560000,23,2024-06-04 07:46:00-04:00
26514,525.7846,525.87,525.71,525.87,525.7,1717501680000,100,2024-06-04 07:48:00-04:00
11856,525.6873,525.71,525.68,525.71,525.66,1717501800000,52,2024-06-04 07:50:00-04:00
1553,525.68,525.68,525.68,525.68,525.68,1717501920000,8,2024-06-04 07:52:00-04:00
6003,525.7921,525.78,525.82,525.87,525.78,1717502040000,22,2024-06-04 07:54:00-04:00
5819,525.9368,525.87,525.96,526.0,525.87,1717502160000,40,2024-06-04 07:56:00-04:00
815,525.9543,525.95,525.96,525.96,525.95,1717502280000,15,2024-06-04 07:58:00-04:00
37005,525.5342,525.22,525.95,527.6,524.335,1717502400000,602,2024-06-04 08:00:00-04:00
8565,526.1159,525.87,527.96,527.96,525.59,1717502520000,268,2024-06-04 08:02:00-04:00
71704,525.4887,525.58,525.49,527.45,525.31,1717502640000,422,2024-06-04 08:04:00-04:00
30078,525.4773,527.96,525.26,527.96,525.25,1717502760000,197,2024-06-04 08:06:00-04:00
3647,525.2722,525.24,525.29,525.29,525.23,1717502880000,52,2024-06-04 08:08:00-04:00
3024,525.3186,525.3,525.34,525.34,525.3,1717503000000,49,2024-06-04 08:10:00-04:00
3213,525.5218,525.41,525.6,525.6,525.4,1717503120000,58,2024-06-04 08:12:00-04:00
932,525.6281,525.56,525.62,525.66,525.56,1717503240000,39,2024-06-04 08:14:00-04:00
4263,525.531,525.65,525.5,525.7,525.48,1717503360000,60,2024-06-04 08:16:00-04:00
13532,525.7634,525.55,525.8,525.8,525.55,1717503480000,90,2024-06-04 08:18:00-04:00
30760,525.79,525.83,525.83,525.83,525.74,1717503600000,113,2024-06-04 08:20:00-04:00
4060,525.7626,525.79,525.78,525.79,525.74,1717503720000,53,2024-06-04 08:22:00-04:00
1210,525.7713,525.77,525.71,525.79,525.71,1717503840000,46,2024-06-04 08:24:00-04:00
11912,525.8159,525.85,525.81,525.87,525.78,1717503960000,91,2024-06-04 08:26:00-04:00
16564,525.802,525.83,525.8,525.84,525.74,1717504080000,102,2024-06-04 08:28:00-04:00
1322,525.8407,525.84,525.84,525.84,525.84,1717504200000,21,2024-06-04 08:30:00-04:00
21544,525.8573,525.87,525.8,525.89,525.77,1717504320000,126,2024-06-04 08:32:00-04:00
727,525.8538,525.83,525.86,525.86,525.83,1717504440000,32,2024-06-04 08:34:00-04:00
9029,525.85,525.85,525.85,525.85,525.85,1717504560000,14,2024-06-04 08:36:00-04:00
980,525.8117,525.86,525.76,525.86,525.76,1717504680000,40,2024-06-04 08:38:00-04:00
1080,525.7774,525.76,525.78,525.8,525.73,1717504800000,31,2024-06-04 08:40:00-04:00
2374,525.7402,525.74,525.74,525.74,525.74,1717504920000,43,2024-06-04 08:42:00-04:00
6815,525.8543,525.9,525.85,525.9,525.84,1717505040000,87,2024-06-04 08:44:00-04:00
31287,525.9751,525.91,526.12,526.12,525.91,1717505160000,183,2024-06-04 08:46:00-04:00
